"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Other synthetic narcotics"	"T40.4"	"Kentucky"	"21"	"65-74 years"	"65-74"	"Male"	"M"	59	3481556	1.7
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"15-24 years"	"15-24"	"Female"	"F"	39	7212244	0.5
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"15-24 years"	"15-24"	"Male"	"M"	76	7342144	1.0
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"25-34 years"	"25-34"	"Female"	"F"	123	6924740	1.8
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"25-34 years"	"25-34"	"Male"	"M"	344	6842736	5.0
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"35-44 years"	"35-44"	"Female"	"F"	163	6769680	2.4
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"35-44 years"	"35-44"	"Male"	"M"	407	6545385	6.2
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"45-54 years"	"45-54"	"Female"	"F"	115	6912058	1.7
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"45-54 years"	"45-54"	"Male"	"M"	238	6585760	3.6
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"55-64 years"	"55-64"	"Female"	"F"	78	5888421	1.3
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"55-64 years"	"55-64"	"Male"	"M"	136	5417652	2.5
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"65-74 years"	"65-74"	"Female"	"F"	13	4011430	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Louisiana"	"22"	"65-74 years"	"65-74"	"Male"	"M"	22	3374581	0.7
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"15-24 years"	"15-24"	"Female"	"F"	39	1758880	2.2
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"15-24 years"	"15-24"	"Male"	"M"	82	1846031	4.4
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"25-34 years"	"25-34"	"Female"	"F"	126	1682997	7.5
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"25-34 years"	"25-34"	"Male"	"M"	380	1656761	22.9
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"35-44 years"	"35-44"	"Female"	"F"	125	1996449	6.3
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"35-44 years"	"35-44"	"Male"	"M"	381	1927034	19.8
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"45-54 years"	"45-54"	"Female"	"F"	103	2261294	4.6
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"45-54 years"	"45-54"	"Male"	"M"	267	2181212	12.2
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"55-64 years"	"55-64"	"Female"	"F"	53	2018892	2.6
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"55-64 years"	"55-64"	"Male"	"M"	129	1925351	6.7
	"Other synthetic narcotics"	"T40.4"	"Maine"	"23"	"65-74 years"	"65-74"	"Male"	"M"	11	1277218	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"15-24 years"	"15-24"	"Female"	"F"	171	8210417	2.1
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"15-24 years"	"15-24"	"Male"	"M"	469	8515036	5.5
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"25-34 years"	"25-34"	"Female"	"F"	652	8694708	7.5
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"25-34 years"	"25-34"	"Male"	"M"	1777	8385501	21.2
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"35-44 years"	"35-44"	"Female"	"F"	592	9426447	6.3
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"35-44 years"	"35-44"	"Male"	"M"	1541	8828335	17.5
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"45-54 years"	"45-54"	"Female"	"F"	642	9624028	6.7
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"45-54 years"	"45-54"	"Male"	"M"	1707	8877606	19.2
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"55-64 years"	"55-64"	"Female"	"F"	503	7752508	6.5
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"55-64 years"	"55-64"	"Male"	"M"	1375	6999763	19.6
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"65-74 years"	"65-74"	"Female"	"F"	58	4948559	1.2
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"65-74 years"	"65-74"	"Male"	"M"	269	4139339	6.5
	"Other synthetic narcotics"	"T40.4"	"Maryland"	"24"	"75-84 years"	"75-84"	"Male"	"M"	12	2100107	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Female"	"F"	194	9985048	1.9
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Male"	"M"	543	10044231	5.4
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Female"	"F"	829	10000986	8.3
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Male"	"M"	2522	9829264	25.7
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Female"	"F"	696	10386100	6.7
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Male"	"M"	2211	9983990	22.1
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Female"	"F"	687	10729333	6.4
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Male"	"M"	1710	10163254	16.8
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Female"	"F"	357	8863764	4.0
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Male"	"M"	979	8151130	12.0
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Female"	"F"	53	5976580	0.9
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Male"	"M"	142	5032799	2.8
	"Other synthetic narcotics"	"T40.4"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"Female"	"F"	13	4083897	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"15-24 years"	"15-24"	"Female"	"F"	214	15050340	1.4
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"15-24 years"	"15-24"	"Male"	"M"	446	15664093	2.8
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"25-34 years"	"25-34"	"Female"	"F"	773	13689514	5.6
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"25-34 years"	"25-34"	"Male"	"M"	1659	13808309	12.0
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"35-44 years"	"35-44"	"Female"	"F"	680	14817422	4.6
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"35-44 years"	"35-44"	"Male"	"M"	1486	14615681	10.2
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"45-54 years"	"45-54"	"Female"	"F"	674	15807343	4.3
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"45-54 years"	"45-54"	"Male"	"M"	1257	15384473	8.2
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"55-64 years"	"55-64"	"Female"	"F"	430	13476474	3.2
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"55-64 years"	"55-64"	"Male"	"M"	899	12740060	7.1
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"65-74 years"	"65-74"	"Female"	"F"	78	9115113	0.9
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"65-74 years"	"65-74"	"Male"	"M"	256	7965602	3.2
	"Other synthetic narcotics"	"T40.4"	"Michigan"	"26"	"75-84 years"	"75-84"	"Male"	"M"	15	4205607	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"15-24 years"	"15-24"	"Female"	"F"	83	7814577	1.1
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"15-24 years"	"15-24"	"Male"	"M"	201	8127039	2.5
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"25-34 years"	"25-34"	"Female"	"F"	142	7675375	1.9
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"25-34 years"	"25-34"	"Male"	"M"	389	7930788	4.9
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"35-44 years"	"35-44"	"Female"	"F"	139	7958313	1.7
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"35-44 years"	"35-44"	"Male"	"M"	233	8121435	2.9
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"45-54 years"	"45-54"	"Female"	"F"	152	8125226	1.9
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"45-54 years"	"45-54"	"Male"	"M"	230	8172643	2.8
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"55-64 years"	"55-64"	"Female"	"F"	75	6706493	1.1
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"55-64 years"	"55-64"	"Male"	"M"	127	6569317	1.9
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"65-74 years"	"65-74"	"Female"	"F"	15	4386159	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Minnesota"	"27"	"65-74 years"	"65-74"	"Male"	"M"	18	3977764	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"15-24 years"	"15-24"	"Female"	"F"	17	4711558	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"15-24 years"	"15-24"	"Male"	"M"	59	4837508	1.2
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"25-34 years"	"25-34"	"Female"	"F"	75	4297696	1.7
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"25-34 years"	"25-34"	"Male"	"M"	164	4158162	3.9
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"35-44 years"	"35-44"	"Female"	"F"	88	4360537	2.0
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"35-44 years"	"35-44"	"Male"	"M"	162	4125560	3.9
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"45-54 years"	"45-54"	"Female"	"F"	94	4415360	2.1
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"45-54 years"	"45-54"	"Male"	"M"	122	4144228	2.9
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"55-64 years"	"55-64"	"Female"	"F"	49	3801367	1.3
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"55-64 years"	"55-64"	"Male"	"M"	66	3464732	1.9
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"65-74 years"	"65-74"	"Female"	"F"	11	2693545	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Mississippi"	"28"	"65-74 years"	"65-74"	"Male"	"M"	11	2259216	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"15-24 years"	"15-24"	"Female"	"F"	183	8869430	2.1
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"15-24 years"	"15-24"	"Male"	"M"	394	9179332	4.3
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"25-34 years"	"25-34"	"Female"	"F"	458	8501552	5.4
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"25-34 years"	"25-34"	"Male"	"M"	1034	8489411	12.2
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"35-44 years"	"35-44"	"Female"	"F"	428	8708140	4.9
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"35-44 years"	"35-44"	"Male"	"M"	989	8595058	11.5
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"45-54 years"	"45-54"	"Female"	"F"	352	9070951	3.9
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"45-54 years"	"45-54"	"Male"	"M"	668	8773789	7.6
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"55-64 years"	"55-64"	"Female"	"F"	195	7923810	2.5
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"55-64 years"	"55-64"	"Male"	"M"	334	7361169	4.5
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"65-74 years"	"65-74"	"Female"	"F"	32	5573508	0.6
	"Other synthetic narcotics"	"T40.4"	"Missouri"	"29"	"65-74 years"	"65-74"	"Male"	"M"	90	4816205	1.9
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"15-24 years"	"15-24"	"Male"	"M"	18	1567714	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"25-34 years"	"25-34"	"Female"	"F"	20	1276495	1.6
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"25-34 years"	"25-34"	"Male"	"M"	36	1345401	2.7
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"35-44 years"	"35-44"	"Female"	"F"	29	1351922	2.1
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"35-44 years"	"35-44"	"Male"	"M"	33	1371300	2.4
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"45-54 years"	"45-54"	"Female"	"F"	26	1523193	1.7
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"45-54 years"	"45-54"	"Male"	"M"	21	1517705	1.4
	"Other synthetic narcotics"	"T40.4"	"Montana"	"30"	"55-64 years"	"55-64"	"Female"	"F"	19	1405860	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"15-24 years"	"15-24"	"Male"	"M"	30	2972539	1.0
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"25-34 years"	"25-34"	"Female"	"F"	27	2566340	1.1
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"25-34 years"	"25-34"	"Male"	"M"	59	2688716	2.2
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"35-44 years"	"35-44"	"Female"	"F"	32	2576949	1.2
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"35-44 years"	"35-44"	"Male"	"M"	23	2640292	0.9
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"45-54 years"	"45-54"	"Female"	"F"	42	2640193	1.6
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"45-54 years"	"45-54"	"Male"	"M"	30	2648395	1.1
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"55-64 years"	"55-64"	"Female"	"F"	27	2248643	1.2
	"Other synthetic narcotics"	"T40.4"	"Nebraska"	"31"	"55-64 years"	"55-64"	"Male"	"M"	23	2189578	1.1
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"15-24 years"	"15-24"	"Female"	"F"	40	3577516	1.1
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"15-24 years"	"15-24"	"Male"	"M"	117	3804981	3.1
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"25-34 years"	"25-34"	"Female"	"F"	68	4094911	1.7
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"25-34 years"	"25-34"	"Male"	"M"	145	4320839	3.4
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"35-44 years"	"35-44"	"Female"	"F"	93	4007094	2.3
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"35-44 years"	"35-44"	"Male"	"M"	117	4229824	2.8
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"45-54 years"	"45-54"	"Female"	"F"	136	3841428	3.5
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"45-54 years"	"45-54"	"Male"	"M"	130	3948967	3.3
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"55-64 years"	"55-64"	"Female"	"F"	82	3358124	2.4
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"55-64 years"	"55-64"	"Male"	"M"	78	3273674	2.4
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"65-74 years"	"65-74"	"Female"	"F"	31	2343401	1.3
	"Other synthetic narcotics"	"T40.4"	"Nevada"	"32"	"65-74 years"	"65-74"	"Male"	"M"	23	2234689	1.0
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"15-24 years"	"15-24"	"Female"	"F"	68	1878171	3.6
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"15-24 years"	"15-24"	"Male"	"M"	178	1944980	9.2
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"25-34 years"	"25-34"	"Female"	"F"	206	1684298	12.2
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"25-34 years"	"25-34"	"Male"	"M"	589	1717136	34.3
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"35-44 years"	"35-44"	"Female"	"F"	181	2049402	8.8
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"35-44 years"	"35-44"	"Male"	"M"	460	2019682	22.8
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"45-54 years"	"45-54"	"Female"	"F"	155	2269379	6.8
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"45-54 years"	"45-54"	"Male"	"M"	354	2235651	15.8
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"55-64 years"	"55-64"	"Female"	"F"	61	1889424	3.2
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"55-64 years"	"55-64"	"Male"	"M"	150	1841404	8.1
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"65-74 years"	"65-74"	"Female"	"F"	14	1208349	Unreliable
	"Other synthetic narcotics"	"T40.4"	"New Hampshire"	"33"	"65-74 years"	"65-74"	"Male"	"M"	19	1114990	Unreliable
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"15-24 years"	"15-24"	"Female"	"F"	180	11773585	1.5
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"15-24 years"	"15-24"	"Male"	"M"	531	12464709	4.3
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"25-34 years"	"25-34"	"Female"	"F"	635	12484524	5.1
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"25-34 years"	"25-34"	"Male"	"M"	2096	12584068	16.7
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"35-44 years"	"35-44"	"Female"	"F"	532	14224622	3.7
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"35-44 years"	"35-44"	"Male"	"M"	1739	13817716	12.6
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"45-54 years"	"45-54"	"Female"	"F"	612	14458193	4.2
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"45-54 years"	"45-54"	"Male"	"M"	1648	13737218	12.0
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"55-64 years"	"55-64"	"Female"	"F"	383	11710007	3.3
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"55-64 years"	"55-64"	"Male"	"M"	988	10727501	9.2
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"65-74 years"	"65-74"	"Female"	"F"	49	7895856	0.6
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"65-74 years"	"65-74"	"Male"	"M"	198	6545826	3.0
	"Other synthetic narcotics"	"T40.4"	"New Jersey"	"34"	"75-84 years"	"75-84"	"Male"	"M"	11	3614441	Unreliable
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"15-24 years"	"15-24"	"Female"	"F"	32	3050381	1.0
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"15-24 years"	"15-24"	"Male"	"M"	95	3239060	2.9
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"25-34 years"	"25-34"	"Female"	"F"	96	2814089	3.4
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"25-34 years"	"25-34"	"Male"	"M"	202	2920031	6.9
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"35-44 years"	"35-44"	"Female"	"F"	103	2843123	3.6
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"35-44 years"	"35-44"	"Male"	"M"	210	2811085	7.5
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"45-54 years"	"45-54"	"Female"	"F"	120	2977397	4.0
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"45-54 years"	"45-54"	"Male"	"M"	105	2849395	3.7
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"55-64 years"	"55-64"	"Female"	"F"	69	2675847	2.6
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"55-64 years"	"55-64"	"Male"	"M"	84	2471066	3.4
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"65-74 years"	"65-74"	"Female"	"F"	20	1876138	1.1
	"Other synthetic narcotics"	"T40.4"	"New Mexico"	"35"	"65-74 years"	"65-74"	"Male"	"M"	10	1679681	Unreliable
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"15-24 years"	"15-24"	"Female"	"F"	352	28615223	1.2
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"15-24 years"	"15-24"	"Male"	"M"	885	29460994	3.0
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"25-34 years"	"25-34"	"Female"	"F"	957	30427834	3.1
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"25-34 years"	"25-34"	"Male"	"M"	3046	29817959	10.2
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"35-44 years"	"35-44"	"Female"	"F"	837	30346563	2.8
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"35-44 years"	"35-44"	"Male"	"M"	2461	29262559	8.4
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"45-54 years"	"45-54"	"Female"	"F"	858	30695094	2.8
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"45-54 years"	"45-54"	"Male"	"M"	2338	28872148	8.1
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"55-64 years"	"55-64"	"Female"	"F"	586	25763730	2.3
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"55-64 years"	"55-64"	"Male"	"M"	1636	23191134	7.1
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"65-74 years"	"65-74"	"Female"	"F"	123	17643128	0.7
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"65-74 years"	"65-74"	"Male"	"M"	342	14482755	2.4
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"75-84 years"	"75-84"	"Female"	"F"	20	11713527	0.2
	"Other synthetic narcotics"	"T40.4"	"New York"	"36"	"75-84 years"	"75-84"	"Male"	"M"	31	7908558	0.4
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"15-24 years"	"15-24"	"Female"	"F"	263	13703562	1.9
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"15-24 years"	"15-24"	"Male"	"M"	658	14529413	4.5
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"25-34 years"	"25-34"	"Female"	"F"	799	14007056	5.7
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"25-34 years"	"25-34"	"Male"	"M"	1991	13868016	14.4
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"35-44 years"	"35-44"	"Female"	"F"	729	14620410	5.0
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"35-44 years"	"35-44"	"Male"	"M"	1653	14146800	11.7
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"45-54 years"	"45-54"	"Female"	"F"	704	14592841	4.8
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"45-54 years"	"45-54"	"Male"	"M"	1085	13826559	7.8
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"55-64 years"	"55-64"	"Female"	"F"	330	12510596	2.6
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"55-64 years"	"55-64"	"Male"	"M"	494	11322207	4.4
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"65-74 years"	"65-74"	"Female"	"F"	52	8827276	0.6
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"65-74 years"	"65-74"	"Male"	"M"	87	7438034	1.2
	"Other synthetic narcotics"	"T40.4"	"North Carolina"	"37"	"75-84 years"	"75-84"	"Female"	"F"	19	5244294	Unreliable
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"15-24 years"	"15-24"	"Male"	"M"	22	1292495	1.7
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"25-34 years"	"25-34"	"Female"	"F"	12	947882	Unreliable
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"25-34 years"	"25-34"	"Male"	"M"	27	1080593	2.5
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"35-44 years"	"35-44"	"Female"	"F"	13	907104	Unreliable
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"35-44 years"	"35-44"	"Male"	"M"	22	970250	2.3
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"45-54 years"	"45-54"	"Female"	"F"	15	969177	Unreliable
	"Other synthetic narcotics"	"T40.4"	"North Dakota"	"38"	"45-54 years"	"45-54"	"Male"	"M"	13	1010505	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"1-4 years"	"1-4"	"Male"	"M"	10	6480422	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"15-24 years"	"15-24"	"Female"	"F"	483	16947514	2.8
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"15-24 years"	"15-24"	"Male"	"M"	969	17490168	5.5
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"25-34 years"	"25-34"	"Female"	"F"	1757	16194852	10.8
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"25-34 years"	"25-34"	"Male"	"M"	3869	16171711	23.9
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"35-44 years"	"35-44"	"Female"	"F"	1645	17129626	9.6
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"35-44 years"	"35-44"	"Male"	"M"	3697	16824792	22.0
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"45-54 years"	"45-54"	"Female"	"F"	1288	18202121	7.1
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"45-54 years"	"45-54"	"Male"	"M"	2567	17607333	14.6
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"55-64 years"	"55-64"	"Female"	"F"	773	15661201	4.9
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"55-64 years"	"55-64"	"Male"	"M"	1612	14618232	11.0
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"65-74 years"	"65-74"	"Female"	"F"	103	10863663	0.9
